"DXXIPY.Code.or.Value","DXXIPY.Value.Description","DXXIPY.Count","DXXIPY.Cumulative","DXXIPY.Skip.to.Item"
"143.4 to 371.4","Range of Values",3251,3251,NA
".","Missing",457,3708,NA
