"WTSBA31.Code.or.Value","WTSBA31.Value.Description","WTSBA31.Count","WTSBA31.Cumulative","WTSBA31.Skip.to.Item"
"0 to 350552.93176","Range of Values",946,946,NA
".","Missing",65,1011,NA
