"URDMCHLC.Code.or.Value","URDMCHLC.Value.Description","URDMCHLC.Count","URDMCHLC.Cumulative","URDMCHLC.Skip.to.Item"
"0","At or above the detection limit",812,812,NA
"1","Below lower detection limit",1873,2685,NA
".","Missing",92,2777,NA
