"AUXTMEPR.Code.or.Value","AUXTMEPR.Value.Description","AUXTMEPR.Count","AUXTMEPR.Cumulative","AUXTMEPR.Skip.to.Item"
"-299 to 198","Range of Values",4116,4116,NA
"555","Compliance <= 0.2",0,4116,NA
"777","Refused",0,4116,NA
"888","Could not obtain",0,4116,NA
".","Missing",466,4582,NA
