"LBDSCHSI.Code.or.Value","LBDSCHSI.Value.Description","LBDSCHSI.Count","LBDSCHSI.Cumulative","LBDSCHSI.Skip.to.Item"
"1.68 to 14.33","Range of Values",6232,6232,NA
".","Missing",526,6758,NA
