"DSQIKCAL.Code.or.Value","DSQIKCAL.Value.Description","DSQIKCAL.Count","DSQIKCAL.Cumulative","DSQIKCAL.Skip.to.Item"
"1 to 980","Range of Values",2547,2547,NA
".","Missing",7012,9559,NA
