"DR1IGRMS.Code.or.Value","DR1IGRMS.Value.Description","DR1IGRMS.Count","DR1IGRMS.Cumulative","DR1IGRMS.Skip.to.Item"
"0.03 to 17400","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
