"CIQG17A.Code.or.Value","CIQG17A.Value.Description","CIQG17A.Count","CIQG17A.Cumulative","CIQG17A.Skip.to.Item"
"1","Yes",67,67,NA
"2","No",22,89,NA
"7","Refused",0,89,NA
"9","Don't know",2,91,NA
".","Missing",687,778,NA
