"AUDTYL15.Code.or.Value","AUDTYL15.Value.Description","AUDTYL15.Count","AUDTYL15.Cumulative","AUDTYL15.Skip.to.Item"
"0 to 1.53","Range of Values",1893,1893,NA
".","Missing",153,2046,NA
