"DX2HEFAT.Code.or.Value","DX2HEFAT.Value.Description","DX2HEFAT.Count","DX2HEFAT.Cumulative","DX2HEFAT.Skip.to.Item"
"747.5 to 1675.7","Range of Values",479,479,NA
".","Missing",6,485,NA
