"HEQ040.Code.or.Value","HEQ040.Value.Description","HEQ040.Count","HEQ040.Cumulative","HEQ040.Skip.to.Item"
"1","Yes",22,22,NA
"2","No",47,69,NA
"7","Refused",0,69,NA
"9","Don't know",9,78,NA
".","Missing",8289,8367,NA
