"OCQ510.Code.or.Value","OCQ510.Value.Description","OCQ510.Count","OCQ510.Cumulative","OCQ510.Skip.to.Item"
"1","Yes",1808,1808,""
"2","No",3851,5659,"OCQ530"
"7","Refused",1,5660,"OCQ530"
"9","Don't know",21,5681,"OCQ530"
".","Missing",865,6546,""
