"LBDPFOSL.Code.or.Value","LBDPFOSL.Value.Description","LBDPFOSL.Count","LBDPFOSL.Cumulative","LBDPFOSL.Skip.to.Item"
"0","At or above the detection limit",2117,2117,NA
"1","Below lower detection limit",3,2120,NA
".","Missing",203,2323,NA
