"OCQ290Q.Code.or.Value","OCQ290Q.Value.Description","OCQ290Q.Count","OCQ290Q.Cumulative","OCQ290Q.Skip.to.Item"
"0 to 24","Range of Values",599,599,NA
"7777","Refused",0,599,NA
"9999","Don't know",2,601,NA
".","Missing",5945,6546,NA
