"VTQ270B.Code.or.Value","VTQ270B.Value.Description","VTQ270B.Count","VTQ270B.Cumulative","VTQ270B.Skip.to.Item"
"1 to 72","Range of Values",2661,2661,NA
"777","Refused",0,2661,NA
"999","Don't know",1,2662,NA
".","Missing",753,3415,NA
