"LBX138LA.Code.or.Value","LBX138LA.Value.Description","LBX138LA.Count","LBX138LA.Cumulative","LBX138LA.Skip.to.Item"
"6.4 to 381","Range of Values",1930,1930,NA
".","Missing",344,2274,NA
