"DIQ200A.Code.or.Value","DIQ200A.Value.Description","DIQ200A.Count","DIQ200A.Cumulative","DIQ200A.Skip.to.Item"
"1","Yes",3427,3427,NA
"2","No",3746,7173,NA
"7","Refused",0,7173,NA
"9","Don't know",0,7173,NA
".","Missing",2493,9666,NA
