"VTQ280E.Code.or.Value","VTQ280E.Value.Description","VTQ280E.Count","VTQ280E.Cumulative","VTQ280E.Skip.to.Item"
"1","Yes",95,95,NA
"2","No",3240,3335,NA
"7","Refused",0,3335,NA
"9","Don't know",2,3337,NA
".","Missing",408,3745,NA
