"PSQ110.Code.or.Value","PSQ110.Value.Description","PSQ110.Count","PSQ110.Cumulative","PSQ110.Skip.to.Item"
"1","Yes",61,61,"PSQ130A"
"2","No",8,69,""
"7","Refused",0,69,""
"9","Don't know",0,69,""
".","Missing",52,121,""
