"LBXMPSI.Code.or.Value","LBXMPSI.Value.Description","LBXMPSI.Count","LBXMPSI.Cumulative","LBXMPSI.Skip.to.Item"
"5.6 to 13.5","Range of Values",7952,7952,NA
".","Missing",1004,8956,NA
