"PFQ061F.Code.or.Value","PFQ061F.Value.Description","PFQ061F.Count","PFQ061F.Cumulative","PFQ061F.Skip.to.Item"
"1","No difficulty",1790,1790,NA
"2","Some difficulty",375,2165,NA
"3","Much difficulty",126,2291,NA
"4","Unable to do",99,2390,NA
"5","Do not do this activity",121,2511,NA
"7","Refused",1,2512,NA
"9","Don't know",0,2512,NA
".","Missing",5838,8350,NA
