"PAQ690a.Code.or.Value","PAQ690a.Value.Description","PAQ690a.Count","PAQ690a.Cumulative","PAQ690a.Skip.to.Item"
"10","Wore a mask",81,81,NA
"77","Refused",0,81,NA
"99","Don't Know",0,81,NA
".","Missing",6465,6546,NA
