"WHD080F.Code.or.Value","WHD080F.Value.Description","WHD080F.Count","WHD080F.Cumulative","WHD080F.Skip.to.Item"
"15","Ate 'diet' foods or products",367,367,NA
".","Missing",5772,6139,NA
