"DXXL4A.Code.or.Value","DXXL4A.Value.Description","DXXL4A.Count","DXXL4A.Cumulative","DXXL4A.Skip.to.Item"
"7.27 to 26.01","Range of Values",6192,6192,NA
".","Missing",1542,7734,NA
