"DR1IMOIS.Code.or.Value","DR1IMOIS.Value.Description","DR1IMOIS.Count","DR1IMOIS.Cumulative","DR1IMOIS.Skip.to.Item"
"0 to 9470.52","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
