"BPQ100C.Code.or.Value","BPQ100C.Value.Description","BPQ100C.Count","BPQ100C.Cumulative","BPQ100C.Skip.to.Item"
"1","Yes",582,582,NA
"2","No",267,849,NA
"7","Refused",0,849,NA
"9","Don't know",0,849,NA
".","Missing",5785,6634,NA
