"LB2SBUSI.Code.or.Value","LB2SBUSI.Value.Description","LB2SBUSI.Count","LB2SBUSI.Cumulative","LB2SBUSI.Skip.to.Item"
"0.36 to 20.71","Range of Values",544,544,NA
".","Missing",2,546,NA
