"LBXEPP.Code.or.Value","LBXEPP.Value.Description","LBXEPP.Count","LBXEPP.Cumulative","LBXEPP.Skip.to.Item"
"12 to 744","Range of Values",2665,2665,NA
".","Missing",4899,7564,NA
