"RDQ030.Code.or.Value","RDQ030.Value.Description","RDQ030.Count","RDQ030.Cumulative","RDQ030.Skip.to.Item"
"1","Yes",364,364,""
"2","No",6916,7280,"RDQ050"
"7","Refused",3,7283,"RDQ050"
"9","Don't know",7,7290,"RDQ050"
".","Missing",2203,9493,""
