"SPXBFVC.Code.or.Value","SPXBFVC.Value.Description","SPXBFVC.Count","SPXBFVC.Cumulative","SPXBFVC.Skip.to.Item"
"1204 to 6899","Range of Values",457,457,NA
".","Missing",7038,7495,NA
