"LBXVTHF.Code.or.Value","LBXVTHF.Value.Description","LBXVTHF.Count","LBXVTHF.Cumulative","LBXVTHF.Skip.to.Item"
"0.088 to 2.69","Range of Values",2843,2843,NA
".","Missing",329,3172,NA
