"VIXKLG1.Code.or.Value","VIXKLG1.Value.Description","VIXKLG1.Count","VIXKLG1.Cumulative","VIXKLG1.Skip.to.Item"
"0 to 180","Range of Values",6962,6962,NA
"888","Could not obtain",49,7011,NA
".","Missing",434,7445,NA
