"RFXC114.Code.or.Value","RFXC114.Value.Description","RFXC114.Count","RFXC114.Cumulative","RFXC114.Skip.to.Item"
"-7.555 to 5.648","Range of Values",33689,33689,NA
".","Missing",32,33721,NA
