"DSDMTCH.Code.or.Value","DSDMTCH.Value.Description","DSDMTCH.Count","DSDMTCH.Cumulative","DSDMTCH.Skip.to.Item"
"1","Exact or near exact match",3294,3294,NA
"2","Probable match",675,3969,NA
"3","Generic match",1526,5495,NA
"4","Reasonable match",1008,6503,NA
"5","Default match",1794,8297,NA
"6","No match",80,8377,NA
"7","Refused",0,8377,NA
"9","Don't know",23,8400,NA
".","Missing",0,8400,NA
