"LBDMONO.Code.or.Value","LBDMONO.Value.Description","LBDMONO.Count","LBDMONO.Cumulative","LBDMONO.Skip.to.Item"
"0.1 to 6.7","Range of Values",7523,7523,NA
".","Missing",843,8366,NA
