"DR1IP226.Code.or.Value","DR1IP226.Value.Description","DR1IP226.Count","DR1IP226.Cumulative","DR1IP226.Skip.to.Item"
"0 to 3.175","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
