"DSQIIRON.Code.or.Value","DSQIIRON.Value.Description","DSQIIRON.Count","DSQIIRON.Cumulative","DSQIIRON.Skip.to.Item"
"0.0004 to 1800","Range of Values",1589,1589,NA
".","Missing",6696,8285,NA
