"WBXP062.Code.or.Value","WBXP062.Value.Description","WBXP062.Count","WBXP062.Cumulative","WBXP062.Skip.to.Item"
"-85.6264 to 153.7517","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
