"MCQ160K.Code.or.Value","MCQ160K.Value.Description","MCQ160K.Count","MCQ160K.Cumulative","MCQ160K.Skip.to.Item"
"1","Yes",290,290,"MCQ170K"
"2","No",4676,4966,""
"7","Refused",0,4966,""
"9","Don't know",13,4979,""
".","Missing",4843,9822,""
