"SPXBPEF.Code.or.Value","SPXBPEF.Value.Description","SPXBPEF.Count","SPXBPEF.Cumulative","SPXBPEF.Skip.to.Item"
"1888 to 14089","Range of Values",496,496,NA
".","Missing",7699,8195,NA
