"DR2TTFAT.Code.or.Value","DR2TTFAT.Value.Description","DR2TTFAT.Count","DR2TTFAT.Cumulative","DR2TTFAT.Skip.to.Item"
"0 to 463.09","Range of Values",6875,6875,NA
".","Missing",2669,9544,NA
