"SPAACC.Code.or.Value","SPAACC.Value.Description","SPAACC.Count","SPAACC.Cumulative","SPAACC.Skip.to.Item"
"Y","Yes",31967,31967,NA
"N","No",2890,34857,NA
"< blank >","Missing",0,34857,NA
