"DXDTRA.Code.or.Value","DXDTRA.Value.Description","DXDTRA.Count","DXDTRA.Cumulative","DXDTRA.Skip.to.Item"
"289.53 to 929.68","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
