"MPQ120J.Code.or.Value","MPQ120J.Value.Description","MPQ120J.Count","MPQ120J.Cumulative","MPQ120J.Skip.to.Item"
"19","Lower arm - left",67,67,NA
".","Missing",4974,5041,NA
