"PAQ650.Code.or.Value","PAQ650.Value.Description","PAQ650.Count","PAQ650.Cumulative","PAQ650.Skip.to.Item"
"1","Yes",1857,1857,""
"2","No",5247,7104,"PAQ665"
"7","Refused",0,7104,"PAQ665"
"9","Don't know",1,7105,"PAQ665"
".","Missing",2254,9359,""
