"DS1ICAFF.Code.or.Value","DS1ICAFF.Value.Description","DS1ICAFF.Count","DS1ICAFF.Cumulative","DS1ICAFF.Skip.to.Item"
"52 to 246","Range of Values",17,17,NA
".","Missing",5941,5958,NA
