"CIQP13E.Code.or.Value","CIQP13E.Value.Description","CIQP13E.Count","CIQP13E.Cumulative","CIQP13E.Skip.to.Item"
"1","Yes",64,64,NA
"2","No",54,118,NA
"7","Refused",0,118,NA
"9","Don't know",0,118,NA
".","Missing",810,928,NA
