"DR2IP204.Code.or.Value","DR2IP204.Value.Description","DR2IP204.Count","DR2IP204.Cumulative","DR2IP204.Skip.to.Item"
"0 to 0.832","Range of Values",92726,92726,NA
".","Missing",774,93500,NA
