"LBXVBF.Code.or.Value","LBXVBF.Value.Description","LBXVBF.Count","LBXVBF.Cumulative","LBXVBF.Skip.to.Item"
"0.006 to 0.139","Range of Values",2969,2969,NA
".","Missing",297,3266,NA
