"DR2IFF.Code.or.Value","DR2IFF.Value.Description","DR2IFF.Count","DR2IFF.Cumulative","DR2IFF.Skip.to.Item"
"0 to 1758","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
