"FFQ0125A.Code.or.Value","FFQ0125A.Value.Description","FFQ0125A.Count","FFQ0125A.Cumulative","FFQ0125A.Skip.to.Item"
1,"Almost never or never",1065,1065,NA
2,"About 1/4 of the time",275,1340,NA
3,"About 1/2 of the time",314,1654,NA
4,"About 3/4 of the time",175,1829,NA
5,"Almost always or always",700,2529,NA
88,"Blank",3483,6012,NA
99,"Error",1,6013,NA
