"LBXPFHP.Code.or.Value","LBXPFHP.Value.Description","LBXPFHP.Count","LBXPFHP.Cumulative","LBXPFHP.Skip.to.Item"
"0.28 to 2.9","Range of Values",2100,2100,NA
".","Missing",194,2294,NA
