"BPQ150A.Code.or.Value","BPQ150A.Value.Description","BPQ150A.Count","BPQ150A.Cumulative","BPQ150A.Skip.to.Item"
"1","Yes",3008,3008,NA
"2","No",4911,7919,NA
".","Missing",2558,10477,NA
