"DUQ260.Code.or.Value","DUQ260.Value.Description","DUQ260.Count","DUQ260.Cumulative","DUQ260.Skip.to.Item"
"2 to 59","Range of Values",578,578,NA
"77","Refused",2,580,NA
"99","Don't know",0,580,NA
".","Missing",2705,3285,NA
