"LBCBR66.Code.or.Value","LBCBR66.Value.Description","LBCBR66.Count","LBCBR66.Cumulative","LBCBR66.Skip.to.Item"
"1.556 to 9.096","Range of Values",251,251,NA
".","Missing",0,251,NA
