"DXXGYFM.Code.or.Value","DXXGYFM.Value.Description","DXXGYFM.Count","DXXGYFM.Cumulative","DXXGYFM.Skip.to.Item"
"436 to 16843.6","Range of Values",4696,4696,NA
".","Missing",996,5692,NA
