"LEARLES.Code.or.Value","LEARLES.Value.Description","LEARLES.Count","LEARLES.Cumulative","LEARLES.Skip.to.Item"
"1","Yes",17,17,NA
"2","No",2616,2633,NA
"8","Could not obtain",6,2639,NA
".","Missing",236,2875,NA
