"LBXVMCP.Code.or.Value","LBXVMCP.Value.Description","LBXVMCP.Count","LBXVMCP.Cumulative","LBXVMCP.Skip.to.Item"
"0.014 to 33.1","Range of Values",2835,2835,NA
".","Missing",431,3266,NA
