"LBXSOSSI.Code.or.Value","LBXSOSSI.Value.Description","LBXSOSSI.Count","LBXSOSSI.Cumulative","LBXSOSSI.Skip.to.Item"
"250 to 306","Range of Values",6491,6491,NA
".","Missing",499,6990,NA
