"DBQ925h.Code.or.Value","DBQ925h.Value.Description","DBQ925h.Count","DBQ925h.Cumulative","DBQ925h.Skip.to.Item"
"17","Other nuts",61,61,NA
".","Missing",10088,10149,NA
