"URDUCOLC.Code.or.Value","URDUCOLC.Value.Description","URDUCOLC.Count","URDUCOLC.Cumulative","URDUCOLC.Skip.to.Item"
"0","At or above the detection limit",2255,2255,NA
"1","Below lower detection limit",16,2271,NA
".","Missing",78,2349,NA
