"RFXT046.Code.or.Value","RFXT046.Value.Description","RFXT046.Count","RFXT046.Cumulative","RFXT046.Skip.to.Item"
"389 to 398","Range of Values",51066,51066,NA
".","Missing",10,51076,NA
