"LBDPDTLC.Code.or.Value","LBDPDTLC.Value.Description","LBDPDTLC.Count","LBDPDTLC.Cumulative","LBDPDTLC.Skip.to.Item"
"0","At or above the detection limit",1400,1400,NA
"1","Below lower detection limit",565,1965,NA
".","Missing",372,2337,NA
