"DR1IATOA.Code.or.Value","DR1IATOA.Value.Description","DR1IATOA.Count","DR1IATOA.Cumulative","DR1IATOA.Skip.to.Item"
"0 to 40.6","Range of Values",144880,144880,NA
".","Missing",823,145703,NA
